id,date_created,sender_account,receiver_account,status,original_amount,amount,sender_name,receiver_name,from_cur,to_cur,cur_rate,refrence,type
76664792,2021-02-08T18:11:03Z,EE266625669391305107,EE466676984944831139,Completed,222.15,253.3288,Wolff-Wolff,Deckow Inc,GBP,EUR,1.14035,Invoice nr. 840,internal_transfer
76664850,2021-02-08T18:11:15Z,EE746678762600073322,EE956693574352378974,Completed,837.48,695.1084,"Hauck, Hauck and Hauck",Tromp-Tromp,USD,EUR,0.83,payment,internal_transfer
76664879,2021-02-08T18:11:21Z,EE746678762600073322,EE956693574352378974,Completed,837.48,695.1084,"Hauck, Hauck and Hauck",Tromp-Tromp,USD,EUR,0.83,payment,internal_transfer
76665011,2021-02-08T18:11:49Z,EE306631646548756992,EE734298425560582933,Completed,1528.19,1742.6715,Welch-Welch,Daniel Castaneda-Montano,GBP,EUR,1.14035,Invoice nr. 8483,domestic_transfer
76665074,2021-02-08T18:11:26Z,SV171285641410772179,EE826671013734436976,Completed,178.41,148.0803,SANGEEN ZADRAN SHER MOHAM,Micheal Gutmann,USD,EUR,0.83,student eye,international_transfer
76665661,2021-02-08T18:13:02Z,EE796604671092649890,SE766512909664899783,Completed,1349.88,1349.88,Breitenberg PLC,S. M. Q. A. DAM,EUR,SEK,10.10227,Invoice nr. 4161,international_transfer
76666095,2021-02-08T18:15:23Z,EE51179548884651577511,EE576690609901824394,Completed,172.58,172.58,Suzanne Stokes,Huels-Huels,EUR,GBP,0.87686,Invoice nr. 4354,domestic_transfer
76666158,NA,EE846647369405263873,EE306674819100054691,Completed,435.78,361.6974,O'Reilly-O'Reilly,Smith Kertzmann,USD,EUR,0.83,Invoice nr. 3420,internal_transfer
76666580,2021-02-08T18:16:31Z,PL608624904885580683,EE236609516765415646,Completed,16714.69,3728.8801,SAID BAHAJI,Kelly Stroman,PLN,EUR,0.22309,Invoice nr. 481,international_transfer
76666699,2021-02-08T18:17:22Z,EE406644266121359925,EE116683197580771058,Completed,134.47,153.3429,Kutch-Kutch,Oberbrunner Group,GBP,EUR,1.14035,Invoice nr. 1934,internal_transfer
76666727,2021-02-08T18:17:28Z,EE406644266121359925,EE116683197580771058,Completed,134.47,153.3429,Kutch-Kutch,Oberbrunner Group,GBP,EUR,1.14035,Invoice nr. 1934,internal_transfer
76666784,2021-02-08T18:17:40Z,EE846647369405263873,EE306674819100054691,Completed,435.78,361.6974,O'Reilly-O'Reilly,Smith Kertzmann,USD,EUR,0.83,Invoice nr. 3420,internal_transfer
76666869,2021-02-08T18:18:00Z,EE576692903761541675,EE534260998110586081,Completed,1416.72,1175.8776,Braun-Braun,Korey Rafferty,USD,EUR,0.83,Invoice nr. 7072,domestic_transfer
76666874,2021-02-08T18:17:46Z,EE576696566245721169,PL189668471229314230,Completed,6858.14,6858.14,Spencer Group,JALALUDDIN HAQQANI,EUR,PLN,4.47593,payment,international_transfer
76666926,2021-02-08T18:18:12Z,EE696617121118092777,EE326691943299574473,Completed,678.59,563.2297,Moen and Sons,Lavinia Cruickshank I,USD,EUR,0.83,Invoice nr. 3824,internal_transfer
76667424,2021-02-08T18:19:59Z,EE106694296097773112,EE676659828277189898,Completed,57.69,57.69,O'Keefe-O'Keefe,Hagenes and Sons,EUR,USD,1.2048193,transaction,internal_transfer
76667535,2021-02-08T18:20:16Z,EE896602573652987805,EE176680463296185172,Completed,2099.41,2394.0623,Cruickshank-Cruickshank,Rex Hyatt,GBP,EUR,1.14035,Invoice nr. 1354,internal_transfer
76667592,2021-02-08T18:20:30Z,EE106694296097773112,EE676659828277189898,Completed,57.69,57.69,O'Keefe-O'Keefe,Hagenes and Sons,EUR,USD,1.2048193,transaction,internal_transfer
76667788,2021-02-08T18:21:04Z,EE696617121118092777,EE326691943299574473,Completed,678.59,563.2297,Moen and Sons,Lavinia Cruickshank I,USD,EUR,0.83,Invoice nr. 3824,internal_transfer
76667811,2021-02-08T18:21:08Z,EE896602573652987805,EE176680463296185172,Completed,2099.41,2394.0623,Cruickshank-Cruickshank,Rex Hyatt,GBP,EUR,1.14035,Invoice nr. 1354,internal_transfer
76668032,2021-02-08T18:21:56Z,436624543091921998,EE796628900561462014,Completed,945.56,945.56,Gaylord LLC,Stehr and Sons,EUR,USD,1.2048193,Invoice nr. 4827,internal_transfer
76668266,2021-02-08T18:22:43Z,EE78561704017527383429,EE646647956012142709,Completed,27741.99,27741.99,Osa Kuhlman,"Adams, Adams and Adams",EUR,GBP,0.87686,Invoice nr. 6763,domestic_transfer
76668284,2021-02-08T18:22:46Z,EE606688164931718182,EE396609353520480773,Completed,1317.3,1093.359,"Olson, Olson and Olson",Vander Bernhard,USD,EUR,0.83,transaction,internal_transfer
76668437,2021-02-08T18:23:18Z,EE606688164931718182,EE396609353520480773,Completed,1317.3,1093.359,"Olson, Olson and Olson",Vander Bernhard,USD,EUR,0.83,transaction,internal_transfer
76668458,2021-02-08T18:23:24Z,EE646647956012142709,EE736691091433119158,Completed,11344.2,12936.358,"Adams, Adams and Adams",Bode Inc,GBP,EUR,1.14035,Invoice nr. 4145,internal_transfer
76668479,2021-02-08T18:23:27Z,436624543091921998,EE796628900561462014,Completed,945.56,945.56,Gaylord LLC,Stehr and Sons,EUR,USD,1.2048193,Invoice nr. 4827,internal_transfer
76668652,2021-02-08T18:24:03Z,EE116679277040855799,EE636641601674340423,Completed,2018.34,2301.614,"Nitzsche, Nitzsche and Nitzsche","Schuppe, Schuppe and Schuppe",GBP,EUR,1.14035,Invoice nr. 3920,internal_transfer
76668852,2021-02-08T18:24:44Z,EE116652571934620164,EE426649231870033288,Completed,6026.8,5002.244,Deckow-Deckow,Dewayne Kuhic,USD,EUR,0.83,Invoice nr. 9795,internal_transfer
76669010,2021-02-08T18:25:15Z,EE116652571934620164,EE426649231870033288,Completed,6026.8,5002.244,Deckow-Deckow,Dewayne Kuhic,USD,EUR,0.83,Invoice nr. 9795,internal_transfer
76669075,2021-02-08T18:25:28Z,EE116679277040855799,EE636641601674340423,Completed,2018.34,2301.614,"Nitzsche, Nitzsche and Nitzsche","Schuppe, Schuppe and Schuppe",GBP,EUR,1.14035,Invoice nr. 3920,internal_transfer
76669317,2021-02-08T18:26:19Z,EE646647956012142709,EE146681927082265016,Completed,11344.2,12936.358,"Adams, Adams and Adams",Bauch-Bauch,GBP,EUR,1.14035,Invoice nr. 8822,internal_transfer
76669581,NA,EE646647956012142709,EE736691091433119158,Completed,11344.2,12936.358,"Adams, Adams and Adams",Bode Inc,GBP,EUR,1.14035,Invoice nr. 4145,internal_transfer
76669732,2021-02-08T18:27:43Z,EE646647956012142709,EE146681927082265016,Completed,11344.2,12936.358,"Adams, Adams and Adams",Bauch-Bauch,GBP,EUR,1.14035,Invoice nr. 8822,internal_transfer
76671393,2021-02-08T18:33:22Z,EE246610080545556824,EE656680031575880219,Cancelled,439.92,501.6628,Zulauf and Sons,Shad Schaefer,GBP,EUR,1.14035,Invoice nr. 3841,internal_transfer
76671410,2021-02-08T18:33:26Z,EE106694296097773112,EE916660408553978236,Completed,1.79,1.79,O'Keefe-O'Keefe,Koss-Koss,EUR,GBP,0.87686,Invoice nr. 6051,internal_transfer
76671437,2021-02-08T18:33:31Z,EE106694296097773112,EE916660408553978236,Completed,1.79,1.79,O'Keefe-O'Keefe,Koss-Koss,EUR,GBP,0.87686,Invoice nr. 6051,internal_transfer
76671862,2021-02-08T18:34:02Z,SE824222059289136057,EE816648873830117103,Completed,73253.99,7213.3203,Sab'awi Ibrahim Hassan Lewis,Lindell Herzog,SEK,EUR,0.09847,Invoice nr. 7488,international_transfer
